역명,일자, 이용인원 , 승차인원 , 하차인원 
서구청,2023-06-06,8463,4190,4273
가정(루원시티),2023-06-06,11007,5565,5442
가정중앙시장,2023-06-06,7836,3858,3978
석남(거북시장),2023-06-06,3979,1873,2106
서부여성회관,2023-06-06,4841,2469,2372
인천가좌,2023-06-06,4027,2001,2026
가재울,2023-06-06,3879,1932,1947
주안국가산단,2023-06-06,1319,619,700
주안,2023-06-06,11118,4664,6454
시민공원(문화창작지대),2023-06-06,10897,5655,5242
석바위시장,2023-06-06,5420,2637,2783
인천시청,2023-06-06,3712,1785,1927
석천사거리,2023-06-06,5071,2675,2396
모래내시장,2023-06-06,11991,5792,6199
만수,2023-06-06,6700,3423,3277
남동구청,2023-06-06,4802,2554,2248
인천대공원,2023-06-06,10391,5183,5208
운연(서창),2023-06-06,1665,894,771
검단오류(검단산업단지),2023-06-07,6201,3061,3140
왕길,2023-06-07,5315,2711,2604
검단사거리,2023-06-07,17292,9091,8201
마전,2023-06-07,9059,4452,4607
완정,2023-06-07,15749,8134,7615
독정,2023-06-07,8264,4172,4092
검암,2023-06-07,5932,3183,2749
검바위,2023-06-07,7882,3802,4080
아시아드경기장(공촌사거리),2023-06-07,9844,5193,4651
서구청,2023-06-07,17608,8731,8877
가정(루원시티),2023-06-07,23853,12264,11589
가정중앙시장,2023-06-07,11796,5651,6145
석남(거북시장),2023-06-07,6681,3249,3432
서부여성회관,2023-06-07,8530,4376,4154
인천가좌,2023-06-07,8617,4360,4257
가재울,2023-06-07,7683,3910,3773
주안국가산단,2023-06-07,5625,2718,2907
주안,2023-06-07,16770,7348,9422
시민공원(문화창작지대),2023-06-07,18906,9695,9211
석바위시장,2023-06-07,8934,4279,4655
인천시청,2023-06-07,7066,3433,3633
석천사거리,2023-06-07,9479,4908,4571
모래내시장,2023-06-07,16143,7838,8305
만수,2023-06-07,10419,5386,5033
남동구청,2023-06-07,9150,4750,4400
인천대공원,2023-06-07,5608,2822,2786
운연(서창),2023-06-07,2737,1478,1259
검단오류(검단산업단지),2023-06-08,5911,2900,3011
왕길,2023-06-08,5255,2635,2620
검단사거리,2023-06-08,16472,8610,7862
마전,2023-06-08,8975,4395,4580
완정,2023-06-08,15092,7780,7312
독정,2023-06-08,7959,3971,3988
검암,2023-06-08,5806,3052,2754
검바위,2023-06-08,7751,3721,4030
아시아드경기장(공촌사거리),2023-06-08,9587,5067,4520
서구청,2023-06-08,17877,8886,8991
가정(루원시티),2023-06-08,23569,12056,11513
가정중앙시장,2023-06-08,11507,5571,5936
석남(거북시장),2023-06-08,6316,3060,3256
서부여성회관,2023-06-08,8282,4179,4103
인천가좌,2023-06-08,8653,4413,4240
가재울,2023-06-08,7378,3758,3620
주안국가산단,2023-06-08,5635,2760,2875
주안,2023-06-08,16535,7154,9381
시민공원(문화창작지대),2023-06-08,18771,9674,9097
석바위시장,2023-06-08,8678,4211,4467
인천시청,2023-06-08,6895,3286,3609
석천사거리,2023-06-08,9206,4719,4487
모래내시장,2023-06-08,15823,7592,8231
만수,2023-06-08,10324,5372,4952
남동구청,2023-06-08,8949,4673,4276
인천대공원,2023-06-08,5120,2612,2508
운연(서창),2023-06-08,2706,1476,1230
검단오류(검단산업단지),2023-06-09,5785,2889,2896
왕길,2023-06-09,5456,2798,2658
검단사거리,2023-06-09,17684,9368,8316
마전,2023-06-09,9022,4490,4532
완정,2023-06-09,15549,8089,7460
독정,2023-06-09,8020,4035,3985
검암,2023-06-09,6084,3305,2779
검바위,2023-06-09,7881,3857,4024
아시아드경기장(공촌사거리),2023-06-09,9746,5289,4457
서구청,2023-06-09,18040,8947,9093
가정(루원시티),2023-06-09,24087,12382,11705
가정중앙시장,2023-06-09,12171,5896,6275
석남(거북시장),2023-06-09,6600,3231,3369
서부여성회관,2023-06-09,8673,4468,4205
인천가좌,2023-06-09,8682,4511,4171
가재울,2023-06-09,7586,3894,3692
주안국가산단,2023-06-09,5542,2668,2874
주안,2023-06-09,17324,7511,9813
시민공원(문화창작지대),2023-06-09,18749,9758,8991
석바위시장,2023-06-09,9089,4464,4625
인천시청,2023-06-09,6972,3360,3612
석천사거리,2023-06-09,9482,4990,4492
모래내시장,2023-06-09,16798,8293,8505
만수,2023-06-09,10521,5537,4984
남동구청,2023-06-09,9220,4826,4394
인천대공원,2023-06-09,6615,3369,3246
운연(서창),2023-06-09,2859,1539,1320
검단오류(검단산업단지),2023-06-10,1996,1069,927
왕길,2023-06-10,2892,1454,1438
검단사거리,2023-06-10,13240,6903,6337
마전,2023-06-10,5951,2931,3020
완정,2023-06-10,10096,5293,4803
독정,2023-06-10,4948,2480,2468
검암,2023-06-10,4538,2382,2156
검바위,2023-06-10,4013,1936,2077
아시아드경기장(공촌사거리),2023-06-10,6808,3535,3273
서구청,2023-06-10,11142,5581,5561
가정(루원시티),2023-06-10,14063,7247,6816
가정중앙시장,2023-06-10,9107,4496,4611
석남(거북시장),2023-06-10,4597,2150,2447
서부여성회관,2023-06-10,5973,3060,2913
인천가좌,2023-06-10,5056,2583,2473
가재울,2023-06-10,4546,2322,2224
주안국가산단,2023-06-10,1368,671,697
주안,2023-06-10,13464,5414,8050
시민공원(문화창작지대),2023-06-10,12999,6734,6265
석바위시장,2023-06-10,6327,3092,3235
인천시청,2023-06-10,4743,2256,2487
석천사거리,2023-06-10,6357,3355,3002
모래내시장,2023-06-10,13299,6524,6775
만수,2023-06-10,7799,3972,3827
남동구청,2023-06-10,5846,3051,2795
인천대공원,2023-06-10,7177,3554,3623
운연(서창),2023-06-10,1830,970,860
검단오류(검단산업단지),2023-06-11,1409,665,744
왕길,2023-06-11,2002,1000,1002
검단사거리,2023-06-11,9903,4923,4980
마전,2023-06-11,4033,1944,2089
완정,2023-06-11,6794,3462,3332
독정,2023-06-11,3233,1551,1682
검암,2023-06-11,3375,1756,1619
검바위,2023-06-11,2922,1377,1545
아시아드경기장(공촌사거리),2023-06-11,4972,2637,2335
서구청,2023-06-11,7596,3834,3762
가정(루원시티),2023-06-11,9896,5014,4882
가정중앙시장,2023-06-11,6802,3326,3476
석남(거북시장),2023-06-11,3403,1583,1820
서부여성회관,2023-06-11,4917,2498,2419
인천가좌,2023-06-11,3111,1570,1541
가재울,2023-06-11,2998,1532,1466
주안국가산단,2023-06-11,738,373,365
주안,2023-06-11,9543,3905,5638
시민공원(문화창작지대),2023-06-11,9978,5151,4827
석바위시장,2023-06-11,4721,2284,2437
인천시청,2023-06-11,3624,1752,1872
석천사거리,2023-06-11,4465,2393,2072
모래내시장,2023-06-11,10278,4999,5279
만수,2023-06-11,5939,3066,2873
남동구청,2023-06-11,4193,2197,1996
인천대공원,2023-06-11,7088,3544,3544
운연(서창),2023-06-11,1385,744,641
검단오류(검단산업단지),2023-06-12,5934,2909,3025
왕길,2023-06-12,5240,2677,2563
검단사거리,2023-06-12,17210,8993,8217
마전,2023-06-12,8984,4351,4633
완정,2023-06-12,15276,7996,7280
독정,2023-06-12,7952,3937,4015
검암,2023-06-12,5917,3179,2738
검바위,2023-06-12,7603,3681,3922
아시아드경기장(공촌사거리),2023-06-12,9647,5158,4489
서구청,2023-06-12,17327,8591,8736
가정(루원시티),2023-06-12,23210,11905,11305
가정중앙시장,2023-06-12,11321,5447,5874
석남(거북시장),2023-06-12,6256,3061,3195
서부여성회관,2023-06-12,8071,4182,3889
인천가좌,2023-06-12,8661,4379,4282
가재울,2023-06-12,7578,3838,3740
주안국가산단,2023-06-12,5639,2781,2858
주안,2023-06-12,16575,7230,9345
시민공원(문화창작지대),2023-06-12,18491,9484,9007
석바위시장,2023-06-12,8927,4332,4595
인천시청,2023-06-12,6546,3145,3401
석천사거리,2023-06-12,9392,4851,4541
모래내시장,2023-06-12,15854,7725,8129
만수,2023-06-12,10187,5273,4914
남동구청,2023-06-12,8992,4662,4330
