"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250101","6호선","보문","3386","3471","20250104",""
"20250101","6호선","안암(고대병원앞)","4017","4506","20250104",""
"20250101","6호선","고려대(종암)","3198","3424","20250104",""
"20250101","6호선","월곡(동덕여대)","4421","4603","20250104",""
"20250101","6호선","상월곡(한국과학기술연구원)","2476","2397","20250104",""
"20250101","6호선","돌곶이","4633","4152","20250104",""
"20250101","6호선","석계","5326","5612","20250104",""
"20250101","6호선","태릉입구","2661","2973","20250104",""
"20250101","6호선","화랑대(서울여대입구)","3959","3658","20250104",""
"20250101","6호선","봉화산(서울의료원)","3120","3324","20250104",""
"20250101","7호선","장암","1015","718","20250104",""
"20250101","7호선","도봉산","3665","5198","20250104",""
"20250101","7호선","수락산","6165","5994","20250104",""
"20250101","7호선","마들","5851","5845","20250104",""
"20250101","7호선","노원","8596","8963","20250104",""
"20250101","7호선","중계","5836","5669","20250104",""
"20250101","7호선","하계","7350","7108","20250104",""
"20250101","7호선","공릉(서울과학기술대)","5310","5488","20250104",""
"20250101","7호선","태릉입구","3939","3773","20250104",""
"20250101","7호선","먹골","4580","4585","20250104",""
"20250101","7호선","중화","4452","4441","20250104",""
"20250101","7호선","상봉","7838","7550","20250104",""
"20250101","7호선","면목","6127","5990","20250104",""
"20250101","7호선","사가정","7459","7584","20250104",""
"20250101","7호선","용마산(용마폭포공원)","2743","3072","20250104",""
"20250101","7호선","중곡","4288","4328","20250104",""
"20250101","7호선","군자(능동)","6902","5460","20250104",""
"20250101","7호선","어린이대공원(세종대)","5853","5673","20250104",""
"20250101","7호선","건대입구","6802","6920","20250104",""
"20250101","7호선","자양(뚝섬한강공원)","5784","5617","20250104",""
"20250101","7호선","청담","5056","5288","20250104",""
"20250101","7호선","강남구청","3439","3828","20250104",""
"20250101","7호선","학동","4137","4232","20250104",""
"20250101","7호선","논현","5000","5141","20250104",""
"20250101","7호선","반포","2713","2487","20250104",""
"20250101","7호선","고속터미널","9494","5862","20250104",""
"20250101","수인선","인하대","3020","2893","20250104",""
"20250101","7호선","내방","3894","4205","20250104",""
"20250101","7호선","이수","6612","6535","20250104",""
"20250101","7호선","남성","4499","4660","20250104",""
"20250101","7호선","숭실대입구(살피재)","4360","4856","20250104",""
"20250101","7호선","상도","4467","4764","20250104",""
"20250101","7호선","장승배기","3526","3636","20250104",""
"20250101","7호선","신대방삼거리","6003","6377","20250104",""
"20250101","7호선","보라매","2526","2712","20250104",""
"20250101","7호선","신풍","4842","4691","20250104",""
"20250101","7호선","대림(구로구청)","7339","6876","20250104",""
"20250101","7호선","남구로","5802","5766","20250104",""
"20250101","7호선","가산디지털단지","7567","7645","20250104",""
"20250101","7호선","철산","8311","8390","20250104",""
"20250101","7호선","광명사거리","9761","9740","20250104",""
"20250101","7호선","천왕","4199","4327","20250104",""
"20250101","7호선","온수(성공회대입구)","3135","3307","20250104",""
"20250101","8호선","암사역사공원","2339","2182","20250104",""
"20250101","8호선","암사","7172","7172","20250104",""
"20250101","8호선","천호(풍납토성)","7994","8820","20250104",""
"20250101","8호선","강동구청","3980","4191","20250104",""
"20250101","8호선","몽촌토성(평화의문)","4140","4450","20250104",""
"20250101","8호선","잠실(송파구청)","12908","13413","20250104",""
"20250101","8호선","석촌","3978","4803","20250104",""
"20250101","8호선","송파","3977","4050","20250104",""
"20250101","8호선","가락시장","3224","3632","20250104",""
"20250101","8호선","문정","4412","4717","20250104",""
"20250101","8호선","장지","8065","7962","20250104",""
"20250101","8호선","복정","3393","3063","20250104",""
"20250101","8호선","산성","2642","2778","20250104",""
"20250101","8호선","남한산성입구(성남법원.검찰청)","5453","5332","20250104",""
"20250101","8호선","단대오거리","4731","4928","20250104",""
"20250101","8호선","신흥","2622","2792","20250104",""
"20250101","8호선","수진","2738","2578","20250104",""
"20250101","8호선","모란","2661","2154","20250104",""
"20250101","8호선","남위례","2682","2777","20250104",""
"20250101","9호선","개화","1018","841","20250104",""
"20250101","9호선","김포공항","4594","7861","20250104",""
"20250101","9호선","공항시장","1483","1705","20250104",""
"20250101","9호선","신방화","2767","2916","20250104",""
"20250101","9호선","마곡나루(서울식물원)","4899","5213","20250104",""
"20250101","9호선","양천향교","3470","3924","20250104",""
"20250101","9호선","가양","8478","8845","20250104",""
"20250101","9호선","증미","2138","2231","20250104",""
"20250101","9호선","등촌","4640","4706","20250104",""
"20250101","9호선","염창","6755","7189","20250104",""
"20250101","9호선","신목동","1616","1521","20250104",""
"20250101","9호선","선유도","2551","2647","20250104",""
"20250101","9호선","당산","6785","7057","20250104",""
"20250101","9호선","국회의사당","3770","3484","20250104",""
"20250101","9호선","여의도","5701","5588","20250104",""
"20250101","9호선","노량진","13052","14130","20250104",""
"20250101","9호선","노들","2200","1996","20250104",""
"20250101","9호선","흑석(중앙대입구)","3338","3499","20250104",""
"20250101","9호선","동작(현충원)","1421","1359","20250104",""
"20250101","9호선","구반포","274","261","20250104",""
"20250101","9호선","신반포","1568","1462","20250104",""
"20250101","9호선","고속터미널","8471","11017","20250104",""
"20250101","9호선","사평","1524","1597","20250104",""
"20250101","9호선","신논현","12506","12133","20250104",""
"20250101","9호선2~3단계","언주","2588","2487","20250104",""
"20250101","9호선2~3단계","선정릉","2302","2551","20250104",""
"20250101","9호선2~3단계","삼성중앙","1810","1848","20250104",""
"20250101","9호선2~3단계","봉은사","10556","11372","20250104",""
"20250101","9호선2~3단계","종합운동장","1886","1811","20250104",""
"20250101","9호선2~3단계","삼전","3328","3470","20250104",""
"20250101","9호선2~3단계","석촌고분","3151","3244","20250104",""
"20250101","9호선2~3단계","석촌","3985","3522","20250104",""
"20250101","9호선2~3단계","송파나루","2529","2693","20250104",""
"20250101","9호선2~3단계","한성백제","1685","1409","20250104",""
"20250101","9호선2~3단계","올림픽공원(한국체대)","2724","2513","20250104",""
"20250101","9호선2~3단계","둔촌오륜","886","879","20250104",""
"20250101","9호선2~3단계","중앙보훈병원","3296","3285","20250104",""
"20250101","경강선","판교","2176","1722","20250104",""
"20250101","경강선","이매","449","336","20250104",""
"20250101","경강선","삼동","849","812","20250104",""
"20250101","경강선","경기광주","3020","3047","20250104",""
"20250101","경강선","초월","1407","1388","20250104",""
"20250101","경강선","곤지암","1274","1330","20250104",""
"20250101","경강선","신둔도예촌","754","725","20250104",""
"20250101","경강선","이천","1852","2006","20250104",""
"20250101","경강선","부발","1234","1484","20250104",""
"20250101","경강선","세종대왕릉","226","238","20250104",""
"20250101","경강선","여주","2006","1880","20250104",""
